	bhsid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
811	Brahy.S03G0182600	0.001631863	0.001397149	1.167994914	Brast03G164200			
812	Brahy.S03G0189500	0.000932164	0.0013633999999999	0.72854542175	Brast03G170600			
813	Brahy.S03G0204900	0.00071486	0.00120343	0.594018488	Brast03G184800			
814	Brahy.S03G0206500	0.000387652	0.000959298	0.404099311	Brast03G186200			
815	Brahy.S03G0217100	0.000223924	0.001089273	0.205571904	Brast03G196300			
816	Brahy.S03G0217500	0.0007767795	0.0003250505	2.4385762035000003	Brast03G196500			
817	Brahy.S03G0219000	0.000211975	0.000494616	0.428564698	Brast03G198000	0.000165908	0.000168733	0.983255789
818	Brahy.S03G0223800	0.000680022	0.001070776	0.63507386	Brast03G202800	0.00039529	0.000844207	0.468238951
819	Brahy.S03G0226200	0.0004681405	0.001347187	0.3878446475	Brast03G205100	0.0002511085	0.0008856165	0.4340885395
820	Brahy.S03G0226400	0.0007357542	0.0014534462	0.5144329304	Brast03G205300			
821	Brahy.S03G0232000	0.001174168	0.002973517	0.394875245	Brast03G210400	0.011255585	0.003714623	3.030075084
822	Brahy.S03G0232300	0.002351126	0.0021617093333333	1.307920799	Brast03G210700			
823	Brahy.S03G0232900	0.000157219	0.00050861	0.309115879	Brast03G211300			
824	Brahy.S03G0233900	0.000413534	0.001236414	0.334462336	Brast03G212300			
825	Brahy.S03G0248600	0.000509078	0.0006777075	0.77500456	Brast03G226000			
826	Brahy.S03G0250500	0.000589075	0.004703131	0.125251766	Brast03G227900			
827	Brahy.S03G0253800	0.0014124171999999	0.0016559832	0.8632481204	Brast03G230900			
828	Brahy.S03G0262700	0.005536743	0.004426958	1.250687973	Brast03G239700	0.000609665	0.000439478	1.387246591
829	Brahy.S03G0263200	0.000604494	0.003110079	0.194365992	Brast03G240100			
830	Brahy.S03G0263500	0.006908657	0.007504922	0.920550164	Brast03G240400	0.0031665499999999	0.0046066425	1.00632822
831	Brahy.S03G0266300	0.000562809	0.000660692	0.85184759	Brast03G243300			
832	Brahy.S03G0267500	0.002555618	0.0039748242	0.6095340502	Brast03G244500			
833	Brahy.S03G0268200	0.015919836	0.023100744	0.689148179	Brast03G245300			
834	Brahy.S03G0269500	0.0028872642	0.00533109	0.4739359824	Brast03G246500	0.000574639	0.001761649	0.32619357
835	Brahy.S03G0272300	0.0004240033333333	0.0014453619999999	0.2737702063333333	Brast03G249200			
836	Brahy.S03G0279200	0.00343358275	0.00103781275	3.3904992465	Brast03G255600	0.002142921	0.004793044	0.447089752
837	Brahy.S03G0280800	0.00472943475	0.00597084075	0.789204513	Brast03G257000	0.000763713	0.002774952	0.275216631
838	Brahy.S03G0288300	0.0007811425	0.0024259109999999	0.33104106575	Brast03G263700	0.000844129	0.004460555	0.189243046
839	Brahy.S03G0289900	0.0001428405	0.00076567925	0.23761903525	Brast03G265100	0.000154346	0.000923787	0.16708019
840	Brahy.S03G0290400	0.000507095	0.000244556	2.073538923	Brast03G265600	0.00054706	0.000873113	0.626562588
841	Brahy.S03G0291900	0.0022676536666666	0.0037185703333333	0.6113296763333333	Brast03G267100	0.000457959	0.00172319	0.265762604
842	Brahy.S03G0298000	0.004900368	0.004487163	1.081100802	Brast03G272900			
843	Brahy.S03G0304000	0.002226706	0.001113674	1.999423066	Brast03G278800			
