bhsid	bsid
Brahy.S01G0075100	Brast01G070100
Brahy.S01G0075200	Brast01G070200
Brahy.S01G0075400	Brast01G070300
Brahy.S01G0075600	Brast01G070400
Brahy.S01G0075700	Brast01G070500
Brahy.S01G0075800	Brast01G070600
Brahy.S01G0075900	Brast01G070700
Brahy.S01G0076000	Brast01G070800
Brahy.S01G0076100	Brast01G070900
Brahy.S01G0076200	Brast01G071000
Brahy.S01G0076300	Brast01G071100
Brahy.S01G0076400	Brast01G071200
Brahy.S01G0076500	Brast01G071300
Brahy.S01G0076600	Brast01G071400
Brahy.S01G0076700	Brast01G071500
Brahy.S01G0076800	Brast01G071600
Brahy.S01G0076900	Brast01G071700
Brahy.S01G0077000	Brast01G071800
Brahy.S01G0077100	Brast01G071900
Brahy.S01G0077200	Brast01G072000
Brahy.S01G0077300	Brast01G072100
Brahy.S01G0077400	Brast01G072200
Brahy.S01G0077500	Brast01G072300
Brahy.S01G0077600	Brast01G072400
Brahy.S01G0077700	Brast01G072500
Brahy.S01G0077800	Brast01G072600
Brahy.S01G0077900	Brast01G072700
Brahy.S01G0078100	Brast01G072900
Brahy.S01G0078200	Brast01G073000
Brahy.S01G0078300	Brast01G073100
Brahy.S01G0078400	Brast01G073200
Brahy.S01G0078500	Brast01G073300
Brahy.S01G0078600	Brast01G073400
Brahy.S01G0078700	Brast01G073500
Brahy.S01G0078800	Brast01G073700
Brahy.S01G0079000	Brast01G073800
Brahy.S01G0079100	Brast01G073900
Brahy.S01G0079300	Brast01G074100
Brahy.S01G0079400	Brast01G074200
Brahy.S01G0079500	Brast01G074300
Brahy.S01G0079600	Brast01G074400
Brahy.S01G0079700	Brast01G074500
