nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC4BG004690	NA	turquoise
TRIDC6AG017370	NA	turquoise
TRIDC1BG054490	NA	turquoise
TRIDC7AG012670	NA	turquoise
TRIDC3BG063800	NA	green
TRIDC4BG039030	NA	green
TRIDC7BG051480	NA	turquoise
TRIDC7AG062390	NA	turquoise
TRIDC4BG012900	NA	turquoise
TRIDC4BG006760	NA	blue
TRIDC5AG059210	NA	turquoise
TRIDC6BG049110	NA	turquoise
TRIDC4AG002410	NA	turquoise
TRIDC7BG051490	NA	turquoise
TRIDC7BG041440	NA	turquoise
TRIDC1BG007830	NA	turquoise
TRIDC4AG016880	NA	turquoise
TRIDC1AG032410	NA	turquoise
TRIDC5AG070710	NA	blue
TRIDC6AG037310	NA	turquoise
TRIDC1AG020030	NA	blue
TRIDC1BG012360	NA	turquoise
TRIDC7BG009720	NA	turquoise
TRIDC7AG043550	NA	turquoise
TRIDC7AG037510	NA	turquoise
TRIDC4AG052940	NA	green
TRIDC2BG027370	NA	turquoise
TRIDC4AG015860	NA	turquoise
TRIDC2AG064690	NA	green
TRIDC1AG025970	NA	turquoise
TRIDC1AG012000	NA	turquoise
TRIDC2BG014680	NA	turquoise
TRIDC1AG032790	NA	turquoise
TRIDC2BG028750	NA	turquoise
TRIDC5AG029030	NA	blue
TRIDC1BG073980	NA	turquoise
TRIDC5BG059320	NA	turquoise
TRIDC5BG068450	NA	turquoise
TRIDC2BG025880	NA	turquoise
TRIDC6AG049890	NA	turquoise
TRIDC1AG029490	NA	turquoise
TRIDC3AG013350	NA	turquoise
TRIDC2AG046720	NA	turquoise
TRIDC5BG071900	NA	turquoise
TRIDC1BG021260	NA	turquoise
TRIDC7BG011060	NA	turquoise
TRIDC2BG033170	NA	brown
TRIDC1AG028130	NA	blue
TRIDC3BG067660	NA	turquoise
TRIDC1BG070390	NA	turquoise
TRIDC7BG045350	NA	turquoise
TRIDC3BG045370	NA	turquoise
TRIDC1AG041920	NA	turquoise
TRIDC2BG022380	NA	turquoise
TRIDC2AG069060	NA	turquoise
TRIDC7BG038540	NA	turquoise
TRIDC5AG016910	NA	turquoise
TRIDC4BG007370	NA	turquoise
TRIDC2BG028850	NA	turquoise
TRIDC7AG031320	NA	turquoise
TRIDC7AG041980	NA	turquoise
TRIDC2AG021350	NA	turquoise
TRIDC4AG005310	NA	turquoise
TRIDC2BG042300	NA	blue
TRIDC6BG033870	NA	turquoise
TRIDC3BG063820	NA	turquoise
