nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC6AG033840	NA	blue
TRIDC2AG006310	NA	turquoise
TRIDC4BG009600	NA	turquoise
TRIDC4BG001880	NA	blue
TRIDC4AG000910	NA	blue
TRIDC7BG016580	NA	turquoise
TRIDC2AG052000	NA	blue
TRIDC4AG011970	NA	blue
TRIDC1AG051650	NA	turquoise
TRIDC2AG021100	NA	blue
TRIDC7BG030480	NA	turquoise
TRIDC5AG069100	NA	blue
TRIDC7AG038940	NA	turquoise
TRIDC3BG018910	NA	turquoise
TRIDC4BG020430	NA	turquoise
TRIDC3AG055720	NA	turquoise
TRIDC6BG056640	NA	blue
TRIDC2BG045240	NA	blue
TRIDC5BG059100	NA	blue
TRIDC7BG038540	NA	blue
TRIDC5BG030520	NA	blue
TRIDC5AG027970	NA	turquoise
TRIDC7BG020160	NA	turquoise
TRIDC6AG020500	NA	turquoise
TRIDC4BG006760	NA	blue
TRIDC4BG034820	NA	blue
TRIDC7AG049130	NA	turquoise
TRIDC4AG001800	NA	blue
TRIDC2BG070180	NA	blue
TRIDC3BG041980	NA	blue
TRIDC2BG051810	NA	turquoise
TRIDC5AG037260	NA	turquoise
TRIDC2AG019990	NA	blue
TRIDC1BG041590	NA	blue
TRIDC1BG010580	NA	green
TRIDC4BG020200	NA	turquoise
TRIDC6BG002540	NA	turquoise
TRIDC7BG000060	NA	turquoise
TRIDC6BG026140	NA	blue
TRIDC7AG040110	NA	turquoise
TRIDC7AG077660	NA	turquoise
TRIDC7AG036410	NA	turquoise
TRIDC4AG006210	NA	blue
TRIDC5BG045950	NA	blue
TRIDC1BG069200	NA	blue
TRIDC2AG021350	NA	blue
TRIDC2BG004870	NA	blue
TRIDC6AG043450	NA	turquoise
TRIDC2BG047150	NA	turquoise
TRIDC5BG023810	NA	blue
TRIDC3BG047010	NA	brown
TRIDC6AG049370	NA	turquoise
TRIDC6BG027150	NA	blue
TRIDC3AG041570	NA	blue
TRIDC3BG070880	NA	blue
TRIDC2AG021080	NA	turquoise
TRIDC4BG025190	NA	blue
TRIDC1AG005140	NA	turquoise
TRIDC1BG068860	NA	black
TRIDC7BG034470	NA	turquoise
TRIDC6AG049650	NA	turquoise
TRIDC1BG018140	NA	blue
TRIDC7BG004560	NA	brown
